11-22 00:39:21: New best reward: 470.0 (+30.2%) at episode 1510, saving model...
11-22 00:39:55: New best reward: 476.0 (+1.3%) at episode 1822, saving model...
11-22 00:40:19: New best reward: 508.0 (+6.7%) at episode 2059, saving model...
11-22 00:54:54: New best reward: 100000.0 (+19585.0%) at episode 8597, saving model...
11-22 00:54:55: Average duration: 1130167.0 timesteps, Average layer passes: 5583456.0 (cartpole1-6)
Seed: 65288
11-22 00:54:55: Starting training... (cartpole1-7)
11-22 00:54:55: New best reward: 18.0 (-100.0%) at episode 0, saving model...
11-22 00:54:55: New best reward: 20.0 (+11.1%) at episode 1, saving model...
11-22 00:54:55: New best reward: 42.0 (+110.0%) at episode 2, saving model...
11-22 00:54:55: New best reward: 56.0 (+33.3%) at episode 5, saving model...
11-22 00:54:55: New best reward: 59.0 (+5.4%) at episode 7, saving model...
11-22 00:54:55: New best reward: 64.0 (+8.5%) at episode 40, saving model...
11-22 00:54:56: New best reward: 87.0 (+35.9%) at episode 177, saving model...
11-22 00:54:57: New best reward: 89.0 (+2.3%) at episode 225, saving model...
11-22 00:54:57: New best reward: 102.0 (+14.6%) at episode 275, saving model...
11-22 00:54:59: New best reward: 114.0 (+11.8%) at episode 382, saving model...
11-22 00:54:59: New best reward: 161.0 (+41.2%) at episode 401, saving model...
11-22 00:55:03: New best reward: 179.0 (+11.2%) at episode 613, saving model...
11-22 00:55:07: New best reward: 191.0 (+6.7%) at episode 757, saving model...
11-22 00:55:10: New best reward: 256.0 (+34.0%) at episode 858, saving model...
11-22 00:55:13: New best reward: 277.0 (+8.2%) at episode 974, saving model...
11-22 00:55:15: New best reward: 332.0 (+19.9%) at episode 1007, saving model...
11-22 00:55:16: New best reward: 424.0 (+27.7%) at episode 1030, saving model...
11-22 00:55:44: New best reward: 434.0 (+2.4%) at episode 1481, saving model...
11-22 00:55:49: New best reward: 544.0 (+25.3%) at episode 1528, saving model...
11-22 00:55:59: New best reward: 595.0 (+9.4%) at episode 1611, saving model...
11-22 00:57:29: New best reward: 743.0 (+24.9%) at episode 2229, saving model...
11-22 00:57:44: New best reward: 817.0 (+10.0%) at episode 2280, saving model...
11-22 00:58:02: New best reward: 1069.0 (+30.8%) at episode 2340, saving model...
11-22 01:27:36: New best reward: 4996.0 (+367.4%) at episode 12394, saving model...
11-22 01:29:23: New best reward: 100000.0 (+1901.6%) at episode 12396, saving model...
11-22 01:29:23: Average duration: 2052802.0 timesteps, Average layer passes: 12418854.0 (cartpole1-7)
Seed: 49735
11-22 01:29:23: Starting training... (cartpole1-8)
11-22 01:29:23: New best reward: 9.0 (-100.0%) at episode 0, saving model...
11-22 01:29:23: New best reward: 27.0 (+200.0%) at episode 1, saving model...
11-22 01:29:24: New best reward: 35.0 (+29.6%) at episode 8, saving model...
11-22 01:29:24: New best reward: 57.0 (+62.9%) at episode 9, saving model...
11-22 01:29:24: New best reward: 70.0 (+22.8%) at episode 46, saving model...
11-22 01:29:24: New best reward: 79.0 (+12.9%) at episode 61, saving model...
11-22 01:29:25: New best reward: 84.0 (+6.3%) at episode 118, saving model...
11-22 01:29:26: New best reward: 86.0 (+2.4%) at episode 216, saving model...
11-22 01:29:28: New best reward: 109.0 (+26.7%) at episode 361, saving model...
11-22 01:29:35: New best reward: 144.0 (+32.1%) at episode 665, saving model...
11-22 01:29:37: New best reward: 160.0 (+11.1%) at episode 733, saving model...
11-22 01:29:40: New best reward: 177.0 (+10.6%) at episode 854, saving model...
11-22 01:29:41: New best reward: 194.0 (+9.6%) at episode 861, saving model...
11-22 01:29:46: New best reward: 219.0 (+12.9%) at episode 994, saving model...
11-22 01:29:52: New best reward: 231.0 (+5.5%) at episode 1142, saving model...
11-22 01:29:55: New best reward: 256.0 (+10.8%) at episode 1184, saving model...
11-22 01:29:55: New best reward: 282.0 (+10.2%) at episode 1187, saving model...
11-22 01:29:56: New best reward: 482.0 (+70.9%) at episode 1204, saving model...
11-22 01:30:25: New best reward: 493.0 (+2.3%) at episode 1558, saving model...
