11-24 06:40:00: New best reward: 15.0 (+15.4%) at episode 1, saving model...
11-24 06:40:00: New best reward: 19.0 (+26.7%) at episode 2, saving model...
11-24 06:40:00: New best reward: 25.0 (+31.6%) at episode 5, saving model...
11-24 06:40:00: New best reward: 51.0 (+104.0%) at episode 7, saving model...
11-24 06:40:00: New best reward: 68.0 (+33.3%) at episode 21, saving model...
11-24 06:40:00: New best reward: 86.0 (+26.5%) at episode 85, saving model...
11-24 06:40:01: New best reward: 95.0 (+10.5%) at episode 181, saving model...
11-24 06:40:03: New best reward: 109.0 (+14.7%) at episode 414, saving model...
11-24 06:40:03: New best reward: 112.0 (+2.8%) at episode 428, saving model...
11-24 06:40:03: New best reward: 115.0 (+2.7%) at episode 444, saving model...
11-24 06:40:04: New best reward: 120.0 (+4.3%) at episode 508, saving model...
11-24 06:40:05: New best reward: 163.0 (+35.8%) at episode 576, saving model...
11-24 06:40:09: New best reward: 192.0 (+17.8%) at episode 848, saving model...
11-24 06:40:10: New best reward: 193.0 (+0.5%) at episode 884, saving model...
11-24 06:40:11: New best reward: 205.0 (+6.2%) at episode 899, saving model...
11-24 06:40:13: New best reward: 211.0 (+2.9%) at episode 970, saving model...
11-24 06:40:13: New best reward: 217.0 (+2.8%) at episode 1000, saving model...
11-24 06:40:14: New best reward: 249.0 (+14.7%) at episode 1033, saving model...
11-24 06:40:15: New best reward: 250.0 (+0.4%) at episode 1048, saving model...
11-24 06:40:15: New best reward: 262.0 (+4.8%) at episode 1051, saving model...
11-24 06:40:16: New best reward: 301.0 (+14.9%) at episode 1081, saving model...
11-24 06:40:17: New best reward: 353.0 (+17.3%) at episode 1106, saving model...
11-24 06:40:24: New best reward: 500.0 (+41.6%) at episode 1266, saving model...
11-24 06:53:27: Average duration: 1606174.6 timesteps, Average layer passes: 2678643.6 (cartpole1-linear16)
11-24 06:53:27: Seed: 63371
11-24 06:53:27: Starting training with 3 layer(s)... (cartpole1-linear16)
11-24 06:53:27: New best reward: 21.0 (-2200.0%) at episode 0, saving model...
11-24 06:53:27: New best reward: 34.0 (+61.9%) at episode 1, saving model...
11-24 06:53:27: New best reward: 37.0 (+8.8%) at episode 3, saving model...
11-24 06:53:27: New best reward: 46.0 (+24.3%) at episode 15, saving model...
11-24 06:53:28: New best reward: 68.0 (+47.8%) at episode 26, saving model...
11-24 06:53:28: New best reward: 80.0 (+17.6%) at episode 58, saving model...
11-24 06:53:29: New best reward: 82.0 (+2.5%) at episode 166, saving model...
11-24 06:53:30: New best reward: 94.0 (+14.6%) at episode 272, saving model...
11-24 06:53:31: New best reward: 97.0 (+3.2%) at episode 356, saving model...
11-24 06:53:31: New best reward: 194.0 (+100.0%) at episode 390, saving model...
11-24 06:53:34: New best reward: 244.0 (+25.8%) at episode 629, saving model...
11-24 06:53:45: New best reward: 422.0 (+73.0%) at episode 1038, saving model...
11-24 06:53:55: New best reward: 500.0 (+18.5%) at episode 1278, saving model...
11-24 07:19:19: Seed: 15812
11-24 07:19:19: Starting training with 3 layer(s)... (cartpole1-linear16)
11-24 07:19:19: New best reward: 42.0 (-4300.0%) at episode 0, saving model...
11-24 07:19:19: New best reward: 43.0 (+2.4%) at episode 5, saving model...
11-24 07:19:19: New best reward: 52.0 (+20.9%) at episode 34, saving model...
11-24 07:19:20: New best reward: 83.0 (+59.6%) at episode 81, saving model...
11-24 07:19:20: New best reward: 104.0 (+25.3%) at episode 145, saving model...
11-24 07:19:22: New best reward: 108.0 (+3.8%) at episode 293, saving model...
11-24 07:19:22: New best reward: 154.0 (+42.6%) at episode 334, saving model...
11-24 07:19:24: New best reward: 161.0 (+4.5%) at episode 491, saving model...
11-24 07:19:25: New best reward: 165.0 (+2.5%) at episode 595, saving model...
11-24 07:19:29: New best reward: 168.0 (+1.8%) at episode 768, saving model...
11-24 07:19:29: New best reward: 180.0 (+7.1%) at episode 777, saving model...
11-24 07:19:29: New best reward: 189.0 (+5.0%) at episode 784, saving model...
11-24 07:19:31: New best reward: 228.0 (+20.6%) at episode 879, saving model...
11-24 07:19:40: New best reward: 298.0 (+30.7%) at episode 1149, saving model...
11-24 07:19:49: New best reward: 458.0 (+53.7%) at episode 1364, saving model...
11-24 07:20:13: New best reward: 483.0 (+5.5%) at episode 1746, saving model...
11-24 07:20:21: New best reward: 500.0 (+3.5%) at episode 1882, saving model...
11-24 08:08:12: Seed: 9791
11-24 08:08:12: Starting training with 3 layer(s)... (cartpole1-linear16)
11-24 08:08:12: New best reward: 24.0 (-2500.0%) at episode 0, saving model...
11-24 08:08:12: New best reward: 35.0 (+45.8%) at episode 3, saving model...
11-24 08:08:12: New best reward: 45.0 (+28.6%) at episode 4, saving model...
11-24 08:08:12: New best reward: 55.0 (+22.2%) at episode 7, saving model...
11-24 08:08:13: New best reward: 57.0 (+3.6%) at episode 44, saving model...
11-24 08:08:13: New best reward: 66.0 (+15.8%) at episode 59, saving model...
11-24 08:08:13: New best reward: 93.0 (+40.9%) at episode 118, saving model...
11-24 08:08:13: New best reward: 110.0 (+18.3%) at episode 130, saving model...
11-24 08:08:15: New best reward: 126.0 (+14.5%) at episode 310, saving model...
11-24 08:08:16: New best reward: 133.0 (+5.6%) at episode 444, saving model...
11-24 08:08:18: New best reward: 140.0 (+5.3%) at episode 569, saving model...
11-24 08:08:19: New best reward: 279.0 (+99.3%) at episode 604, saving model...
11-24 08:08:27: New best reward: 304.0 (+9.0%) at episode 1010, saving model...
11-24 08:08:29: New best reward: 315.0 (+3.6%) at episode 1037, saving model...
11-24 08:08:36: New best reward: 344.0 (+9.2%) at episode 1210, saving model...
11-24 08:08:43: New best reward: 500.0 (+45.3%) at episode 1376, saving model...
11-24 08:17:50: Seed: 65582
11-24 08:17:50: Starting training with 3 layer(s)... (cartpole1-linear16)
11-24 08:17:50: New best reward: 12.0 (-1300.0%) at episode 0, saving model...
11-24 08:17:50: New best reward: 19.0 (+58.3%) at episode 2, saving model...
11-24 08:17:50: New best reward: 22.0 (+15.8%) at episode 3, saving model...
